Headline,Summary,Category,Date Published,Link to Article
Minimizing successes and magnifying failures? Change your distorted thinking,"Sometimes we find ourselves in a situation where we question our own abilities, minimize our successes, and overemphasize what we perceive to be our failures. When this happens, it’s helpful to try to view the situation more clearly and from a more balanced point of view. This takes practice, but the process starts with awareness.",Mind & Mood,"January 6, 2022",https://www.health.harvard.edu/blog/minimizing-successes-and-magnifying-failures-change-your-distorted-thinking-202201042661
"Are poinsettias, mistletoe, or holly plants dangerous?","It’s commonly believed that poinsettia plants are poisonous, but are they? If they are dangerous, what can happen if some is ingested? What about other popular holiday-season plants like mistletoe or holly? If you have any of these in your home, what should you know about them?",Staying Healthy,"January 5, 2022",https://www.health.harvard.edu/blog/are-poinsettias-mistletoe-or-holly-plants-dangerous-202201052664
Waiting for motivation to strike? Try rethinking that,,Mind & Mood,"January 4, 2022",https://www.health.harvard.edu/blog/waiting-for-motivation-to-strike-try-rethinking-that-202201042663
Thinking of trying Dry January? Steps for success,,Staying Healthy,"January 3, 2022",https://www.health.harvard.edu/blog/thinking-of-trying-dry-january-steps-for-success-202201032662
5 numbers linked to ideal heart health,"Five numbers give a thumbnail assessment of a person’s overall heart health and what factors they might need to address to lower the risk of a heart attack or stroke. These numbers offer ideal goals for most people, although targets can vary for individuals based on age or other health conditions.",Heart Health,"December 16, 2021",https://www.health.harvard.edu/blog/5-numbers-linked-to-ideal-heart-health-202112162660
How can mindfulness practices help with migraine?,,Mind & Mood,"December 15, 2021",https://www.health.harvard.edu/blog/how-can-mindfulness-practices-help-with-migraine-202112152659
Navigating a chronic illness during the holidays,"The holiday season is a stress test we create for ourselves, but for people living with a chronic illness, the need to heed signs of fatigue can conflict with the desire to ensure others enjoy themselves. What does an illness have to teach us about self-care? The lessons are relevant to everyone, whether living with an illness or not.",Mind & Mood,"December 14, 2021",https://www.health.harvard.edu/blog/navigating-a-chronic-illness-during-the-holidays-202112142658
Gift giving for family or friends in assisted living,,Staying Healthy,"December 13, 2021",https://www.health.harvard.edu/blog/gift-giving-for-family-or-friends-in-assisted-living-202112132657
Saturated fat and low-carb diets: Still more to learn?,,Nutrition,"December 9, 2021",https://www.health.harvard.edu/blog/low-carbohydrate-and-high-saturated-fat-diet-heart-healthy-or-more-to-learn-202112092655
Tinnitus: Ringing or humming in your ears? Sound therapy is one option,,Diseases & Conditions,"December 8, 2021",https://www.health.harvard.edu/blog/tinnitus-ringing-or-humming-in-your-ears-sound-therapy-is-one-option-202112082654
Naps: Make the most of them and know when to stop them,,Child & Teen Health,"December 8, 2021",https://www.health.harvard.edu/blog/naps-make-the-most-of-them-and-know-when-to-stop-them-2018091114800
Making holiday shopping decisions quicker and with less stress,"The holiday season often makes people feel stressed out over choosing gifts. Everyone wants to give a gift that the recipient will be excited about, but expectations and the fear of making the wrong choice undermine the thinking process. Can people get better at making decisions? Yes, but it requires accepting that there is no ideal choice, and approaching the process with the proper focus.",Mind & Mood,"December 7, 2021",https://www.health.harvard.edu/blog/making-holiday-shopping-decisions-quicker-and-with-less-stress-202112072653
Yoga for weight loss: Benefits beyond burning calories,"Obesity is a complex disease, and many factors contribute to weight gain and hinder efforts to lose weight. There is no single solution to weight loss, but there is good research that yoga may help manage stress, improve mood, curb emotional eating, and create a community of support, all of which can help with weight loss and maintenance.",Exercise & Fitness,"December 6, 2021",https://www.health.harvard.edu/blog/yoga-for-weight-loss-benefits-beyond-burning-calories-202112062650
Embryo donation: One possible path after IVF,,Women's Health,"December 3, 2021",https://www.health.harvard.edu/blog/embryo-donation-one-possible-path-after-ivf-202112032649
How to stay strong and coordinated as you age,"Many physical abilities decline with age, along with changes that occur in coordinating the movements of the body. One of the most significant causes of this decline is reduced physical activity. In fact, as people age it becomes even more important to exercise regularly, and regular activity can help improve strength and coordination.",Staying Healthy,"December 2, 2021",https://www.health.harvard.edu/blog/how-to-stay-strong-and-coordinated-as-you-age-202112022651
Acupuncture relieves prostatitis symptoms in study,,Men's Health,"December 1, 2021",https://www.health.harvard.edu/blog/acupuncture-relieves-prostatitis-symptoms-in-study-202112012652
Skin in the game: Two common skin problems and solutions for men,"Dry skin and athlete’s foot affect many men. There are several treatment options for both conditions, and steps you can take to prevent them from occurring or returning.",Men's Health,"December 1, 2021",https://www.health.harvard.edu/blog/skin-in-the-game-two-common-skin-problems-and-solutions-for-men-202111222643
Anti-inflammatory food superstars for every season,"Inflammation is part of the body’s healing process, but chronic inflammation can contribute to a range of health issues. In every season, regularly eating a variety of anti-inflammatory foods can benefit your health.",Nutrition,"November 30, 2021",https://www.health.harvard.edu/blog/anti-inflammatory-food-superstars-for-every-season-202111302648
